iter	RMSE
0	0.3009890192
1	0.2995633275
2	0.2984067201
3	0.297421048
4	0.2958444688
5	0.2943854629
6	0.2936034404
7	0.2926276545
8	0.2918443802
9	0.2906613947
10	0.2893847412
11	0.2880673678
12	0.2868534833
13	0.2854863342
14	0.2842960971
15	0.2832449455
16	0.2827323762
17	0.2819429549
18	0.2808649472
19	0.2794277283
20	0.2786447269
21	0.2777690962
22	0.2767336209
23	0.275799559
24	0.2746634812
25	0.2736223913
26	0.2729400237
27	0.2719183554
28	0.2708811579
29	0.2694369775
30	0.2684778061
31	0.2673605723
32	0.2667817311
33	0.2659135261
34	0.2648381392
35	0.2642697444
36	0.2631655009
37	0.2624776224
38	0.2617316424
39	0.2609274688
40	0.2601842132
41	0.2596042442
42	0.2588348571
43	0.2581509382
44	0.2572606072
45	0.2563935572
46	0.2555105176
47	0.2547989503
48	0.2540150517
49	0.2530430441
50	0.252331227
51	0.2512122364
52	0.2505183293
53	0.2492412833
54	0.2486107462
55	0.2478750961
56	0.2466795785
57	0.2456633816
58	0.2443537634
59	0.2436747121
60	0.2429610616
61	0.2421637687
62	0.2413804859
63	0.2405397551
64	0.2396565959
65	0.2387587291
66	0.2382458641
67	0.2377098609
68	0.236977625
69	0.2363133078
70	0.2356994278
71	0.2346198085
72	0.2339468979
73	0.233336558
74	0.2324475014
75	0.231832088
76	0.231473568
77	0.2307990784
78	0.2304344467
79	0.2295913925
80	0.2285818345
81	0.2281303789
82	0.2269932969
83	0.2266499859
84	0.2259216609
85	0.2253647986
86	0.2243860339
87	0.2234386585
88	0.2229746037
89	0.2219478341
90	0.2213760143
91	0.2205398692
92	0.2199761451
93	0.2193402471
94	0.2187563938
95	0.2182851835
96	0.2176446855
97	0.2170954446
98	0.216500458
99	0.2160616001
100	0.2153319608
101	0.2149458636
102	0.2142726488
103	0.2136792658
104	0.2128167274
105	0.2123859258
106	0.2117998232
107	0.2109596007
108	0.2106228299
109	0.2103440422
110	0.20978905
111	0.2091067602
112	0.2082498189
113	0.2075870089
114	0.207194516
115	0.2066739934
116	0.2060737015
117	0.205469867
118	0.2049368159
119	0.2045198079
120	0.2042319843
121	0.2037028637
122	0.2032436557
123	0.2026960154
124	0.2024801099
125	0.2021750684
126	0.2016892468
127	0.2012959251
128	0.2010463387
129	0.2003120486
130	0.1997498928
131	0.1994230307
132	0.1989870674
133	0.1985659329
134	0.1982185884
135	0.1977375862
136	0.197157411
137	0.1966518024
138	0.1963234781
139	0.1956588133
140	0.1953737439
141	0.1946821318
142	0.1940319775
143	0.1938579777
144	0.1931751206
145	0.1926679911
146	0.1922339103
147	0.1918136218
148	0.191313813
149	0.19095199
150	0.1906167294
151	0.1900812664
152	0.1898255505
153	0.1895423777
154	0.188911476
155	0.1883016739
156	0.1877618494
157	0.1875522976
158	0.1868619505
159	0.1863942546
160	0.1857127721
